                        i                        t                       dt                    alpha                   alpha0                      a_s                       A1                       A2                       A5                       b1                       b2                       b5                        c                      Cd0                      Cm0                 C_nalpha                    eta_e                        M                     T_f0                      T_p                     T_V0                     T_VL                        U                 x_cp_bar                  alpha_e                  alpha_f           alpha_filt_cur              Cn_alpha_nc          Cn_alpha_q_circ            Cn_alpha_q_nc                    Cn_FS            C_nalpha_circ                   Cn_pot                 Cn_prime          Cn_prime_minus1                Cn_q_circ                  Cn_q_nc                     Cn_v              Cn_v_minus1                      C_V                  dalpha0                       Df                Df_minus1                       Dp                Dp_minus1                       ds                FirstPass                   fprime            fprime_minus1              fprimeprime                  k_alpha                 Kalpha_f             Kprime_alpha      Kprime_alpha_minus1                 Kprime_q          Kprime_q_minus1                       kq                       Kq                     Kq_f                   sigma1                   sigma3                  T_alpha                      T_f                      T_q                    tau_V                      T_V                    q_cur                  q_f_cur                       X1                X1_minus1                       X2                X2_minus1                       X3                X3_minus1                       X4                X4_minus1                    Cc_FS                   Cc_pot                     Df_c              Df_c_minus1                 fprime_c          fprime_c_minus1            fprimeprime_c          Gonzalez_factor                  sigma1c                     T_fc              Cm_alpha_nc                Cm_common                    Cm_FS                     Cm_v                Cm_q_circ                  Cm_q_nc                     Df_m              Df_m_minus1                 fprime_m          fprime_m_minus1            fprimeprime_m            Kprimeprime_q     Kprimeprime_q_minus1                K3prime_q         K3prime_q_minus1                  sigma1m                     T_fm                       Cn                       Cc                       Cl                       Cd                       Cm
     0.23822073893522E-43     0.20000000000000E+00     0.10000000000000E+00     0.89947176891782E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235414391335E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71138638210972E+02     0.20000000000000E+00     0.16730445299575E+00     0.89950967208738E-01     0.89947596265654E-01    -0.12397125142728E-04     0.10277863165781E+01    -0.11543627176156E-04     0.10209679644730E+01     0.61432095689896E+01     0.10277747729509E+01     0.10277832858955E+01     0.10278380574568E+01    -0.95965739515905E-05     0.85349796657287E-06     0.00000000000000E+00     0.00000000000000E+00     0.67972119039800E-02     0.16730058871404E+00     0.38919200719737E-05     0.00000000000000E+00    -0.85129446125288E-05     0.00000000000000E+00     0.68205789272265E+01     0.00000000000000E+00     0.99009194717535E+00     0.99007981736871E+00     0.99008805525528E+00     0.11872654859212E+01    -0.11871232059137E-03    -0.14394545683808E-07     0.00000000000000E+00    -0.23518748350205E-08     0.00000000000000E+00     0.11149548023914E+01    -0.35999153315470E-04    -0.34810042331595E-04     0.10000000000000E+01     0.10000000000000E+01     0.55447070230559E-02     0.30000000000000E+01     0.52070053383323E-02     0.00000000000000E+00     0.60000000000000E+01    -0.35999153315470E-05    -0.34810042331595E-05    -0.23345613369219E-05     0.00000000000000E+00    -0.15297203726391E-05     0.00000000000000E+00    -0.66195171322679E-06     0.00000000000000E+00    -0.43374359260205E-06     0.00000000000000E+00     0.92276238522821E-01     0.92446477624201E-01     0.20136329870248E-04     0.00000000000000E+00     0.14356039556327E+01     0.14355411974611E+01     0.14355838193028E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.30992812856821E-05     0.32917052048158E-05    -0.12390307205243E+00     0.00000000000000E+00     0.39191205264223E-07     0.15323271386942E-06    -0.60552404610629E-06     0.00000000000000E+00    -0.35169548142308E-01    -0.35167660927396E-01    -0.35168942618262E-01    -0.97938084599419E-18     0.00000000000000E+00    -0.29532077105699E-12     0.00000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.10215518330814E+01     0.85802514907457E-01     0.10251294801713E+01     0.63061969498922E-02    -0.12390307205243E+00
     0.23822073893522E-43     0.30000000000000E+00     0.10000000000000E+00     0.89926111166249E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235369816550E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71138488885443E+02     0.20000000000000E+00     0.16728733915198E+00     0.89933497065436E-01     0.89926820859345E-01    -0.21390143167416E-04     0.10276810807790E+01    -0.20771049804742E-04     0.10208553075676E+01     0.61432089600358E+01     0.10276603097292E+01     0.10276758612743E+01     0.10277832858955E+01    -0.17372861662807E-04     0.61909336267357E-06     0.00000000000000E+00     0.00000000000000E+00     0.67876292998540E-02     0.16727981330773E+00     0.14713756238960E-04     0.38919200719737E-05    -0.15551545095925E-04    -0.85129446125288E-05     0.68205646103014E+01     0.00000000000000E+00     0.99011571837346E+00     0.99009194717535E+00     0.99010100461722E+00     0.11872651732220E+01    -0.20481283924113E-03    -0.10440154185253E-07    -0.14394545683808E-07     0.64608118998334E-09    -0.23518748350205E-08     0.11149548049730E+01    -0.24920748469977E-04    -0.25247410378677E-04     0.50000000000000E+00     0.10000000000000E+01     0.55447055627041E-02     0.60000000000000E+01     0.52070053503889E-02     0.00000000000000E+00     0.60000000000000E+01    -0.60919901785447E-05    -0.60057444198035E-05    -0.48886873485160E-05    -0.23345613369219E-05    -0.26371568944166E-05    -0.15297203726391E-05    -0.74607506794135E-06    -0.66195171322679E-06    -0.32833473496293E-06    -0.43374359260205E-06     0.92249102455736E-01     0.92415363113580E-01     0.41575528528654E-04     0.20136329870248E-04     0.14357270713950E+01     0.14356039556327E+01     0.14356854958665E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.53475357918539E-05     0.55262907192175E-05    -0.12389999697875E+00     0.00000000000000E+00     0.67616362653876E-07     0.11113856470970E-06    -0.12503341547582E-05    -0.60552404610629E-06    -0.35173250717855E-01    -0.35169548142308E-01    -0.35172000383701E-01     0.26904649341688E-18    -0.97938084599419E-18    -0.21420005429574E-12    -0.29532077105699E-12     0.10000000000000E+01     0.30000000000000E+01     0.10214390398022E+01     0.85775366542192E-01     0.10250148372073E+01     0.63015111252038E-02    -0.12389999697875E+00
     0.23822073893522E-43     0.40000000000000E+00     0.10000000000000E+00     0.89896459326655E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235306790911E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71138277749552E+02     0.20000000000000E+00     0.16726174356976E+00     0.89907598692960E-01     0.89897462235128E-01    -0.30355702780565E-04     0.10275236977539E+01    -0.29738484845512E-04     0.10206996320977E+01     0.61432080990201E+01     0.10274939592691E+01     0.10275166181464E+01     0.10276758612743E+01    -0.25076468675758E-04     0.61721793505372E-06     0.00000000000000E+00     0.00000000000000E+00     0.67692507027456E-02     0.16725045468352E+00     0.24680858523219E-04     0.14713756238960E-04    -0.22658877320838E-04    -0.15551545095925E-04     0.68205443671670E+01     0.00000000000000E+00     0.99015095551700E+00     0.99011571837346E+00     0.99012627465847E+00     0.11872647310865E+01    -0.29065384055311E-03    -0.10408651291246E-07    -0.10440154185253E-07     0.51292668358978E-11     0.64608118998334E-09     0.11149548086215E+01    -0.25168898863782E-04    -0.25171492272498E-04     0.50000000000000E+00     0.10000000000000E+01     0.55447034978650E-02     0.60000000000000E+01     0.52070053674278E-02     0.00000000000000E+00     0.60000000000000E+01    -0.86088800649228E-05    -0.85228927459889E-05    -0.75471233937659E-05    -0.48886873485160E-05    -0.37417628455328E-05    -0.26371568944166E-05    -0.77843283903145E-06    -0.74607506794135E-06    -0.32405035733012E-06    -0.32833473496293E-06     0.92210779758330E-01     0.92370742302312E-01     0.62873095614800E-04     0.41575528528654E-04     0.14359096847407E+01     0.14357270713950E+01     0.14358468116451E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.75889256951413E-05     0.77956866699283E-05    -0.12389720271220E+00     0.00000000000000E+00     0.95956238266525E-07     0.11080473652049E-06    -0.18902528676055E-05    -0.12503341547582E-05    -0.35178740787317E-01    -0.35173250717855E-01    -0.35176850534449E-01     0.21359903046014E-20     0.26904649341688E-18    -0.21356530329245E-12    -0.21420005429574E-12     0.10000000000000E+01     0.30000000000000E+01     0.10212831723738E+01     0.85737026538898E-01     0.10248563435769E+01     0.62953096696036E-02    -0.12389720271220E+00
     0.23822073893522E-43     0.50000000000000E+00     0.10000000000000E+00     0.89858005021636E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235224654127E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71138002591324E+02     0.20000000000000E+00     0.16722746135640E+00     0.89873019491365E-01     0.89859308397724E-01    -0.39534515209791E-04     0.10273129073380E+01    -0.38902612109525E-04     0.10204986767009E+01     0.61432069769247E+01     0.10272740047259E+01     0.10273040032716E+01     0.10275166181464E+01    -0.32960365714617E-04     0.63190310026624E-06     0.00000000000000E+00     0.00000000000000E+00     0.67423676592483E-02     0.16721230084611E+00     0.34573901737277E-04     0.24680858523219E-04    -0.29998545674069E-04    -0.22658877320838E-04     0.68205179857454E+01     0.00000000000000E+00     0.99019801190260E+00     0.99015095551700E+00     0.99016343800086E+00     0.11872641548817E+01    -0.37853618045609E-03    -0.10656127178060E-07    -0.10408651291246E-07    -0.40459428200182E-10     0.51292668358978E-11     0.11149548133731E+01    -0.25790788213041E-04    -0.25770331230677E-04     0.50000000000000E+00     0.10000000000000E+01     0.55447008069026E-02     0.60000000000000E+01     0.52070053896185E-02     0.00000000000000E+00     0.60000000000000E+01    -0.11187958886227E-04    -0.11099924705051E-04    -0.10287798002701E-04    -0.75471233937659E-05    -0.48727122811437E-05    -0.37417628455328E-05    -0.80282332354223E-06    -0.77843283903145E-06    -0.33137840754334E-06    -0.32405035733012E-06     0.92160983091278E-01     0.92312288386370E-01     0.84773053298178E-04     0.62873095614800E-04     0.14361537177600E+01     0.14359096847407E+01     0.14360689447067E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.98836288024477E-05     0.10122040698400E-04    -0.12389461972471E+00     0.00000000000000E+00     0.12497059184261E-06     0.11344130411003E-06    -0.25473285046557E-05    -0.18902528676055E-05    -0.35186073368421E-01    -0.35178740787317E-01    -0.35183526039916E-01    -0.16848808381698E-19     0.21359903046014E-20    -0.21865854908389E-12    -0.21356530329245E-12     0.10000000000000E+01     0.30000000000000E+01     0.10210819680330E+01     0.85687207436997E-01     0.10246517216988E+01     0.62874621328325E-02    -0.12389461972471E+00
     0.23822073893522E-43     0.60000000000000E+00     0.10000000000000E+00     0.89810530817644E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235122774350E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71137661294072E+02     0.20000000000000E+00     0.16718426898238E+00     0.89829524848323E-01     0.89812142096447E-01    -0.48939878463489E-04     0.10270473349570E+01    -0.48292374575468E-04     0.10202510852478E+01     0.61432055851211E+01     0.10269990425824E+01     0.10270365739918E+01     0.10273040032716E+01    -0.41041303031153E-04     0.64750388802042E-06     0.00000000000000E+00     0.00000000000000E+00     0.67069160315130E-02     0.16716513454484E+00     0.44631615063259E-04     0.34573901737277E-04    -0.37531409381352E-04    -0.29998545674069E-04     0.68204852630942E+01     0.00000000000000E+00     0.99025722003484E+00     0.99019801190260E+00     0.99021258841977E+00     0.11872634401741E+01    -0.46858667694231E-03    -0.10918966597998E-07    -0.10656127178060E-07    -0.42977407671500E-10    -0.40459428200182E-10     0.11149548192619E+01    -0.26428169185552E-04    -0.26406438703010E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446974691114E-02     0.60000000000000E+01     0.52070054171200E-02     0.00000000000000E+00     0.60000000000000E+01    -0.13830775804782E-04    -0.13740567096533E-04    -0.13102847372710E-04    -0.10287798002701E-04    -0.60315901736741E-05    -0.48727122811437E-05    -0.82472184021053E-06    -0.80282332354223E-06    -0.33953939371327E-06    -0.33137840754334E-06     0.92099438206330E-01     0.92239666327332E-01     0.10732881162596E-03     0.84773053298178E-04     0.14364610200073E+01     0.14361537177600E+01     0.14363536911957E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.12234969615872E-04     0.12505913154998E-04    -0.12389224928582E+00     0.00000000000000E+00     0.15470146898929E-06     0.11624207013653E-06    -0.32227909976048E-05    -0.25473285046557E-05    -0.35195300229709E-01    -0.35186073368421E-01    -0.35192077438712E-01    -0.17897655070799E-19    -0.16848808381698E-19    -0.22407168002071E-12    -0.21865854908389E-12     0.10000000000000E+01     0.30000000000000E+01     0.10208340692419E+01     0.85625634868052E-01     0.10243995969066E+01     0.62779080124519E-02    -0.12389224928582E+00
     0.23822073893522E-43     0.70000000000000E+00     0.10000000000000E+00     0.89753818487024E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21235000545101E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71137251826087E+02     0.20000000000000E+00     0.16713194545422E+00     0.89776892372049E-01     0.89755745139394E-01    -0.58573209182848E-04     0.10267256216909E+01    -0.57910005961694E-04     0.10199556646712E+01     0.61432039153287E+01     0.10266677116849E+01     0.10267129627973E+01     0.10270365739918E+01    -0.49319692342018E-04     0.66320322115478E-06     0.00000000000000E+00     0.00000000000000E+00     0.66627273214121E-02     0.16710873758778E+00     0.54923421973247E-04     0.44631615063259E-04    -0.45251112433546E-04    -0.37531409381352E-04     0.68204460044187E+01     0.00000000000000E+00     0.99032889970901E+00     0.99025722003484E+00     0.99027397628703E+00     0.11872625827077E+01    -0.56081861886456E-03    -0.11183402353422E-07    -0.10918966597998E-07    -0.43246617917038E-10    -0.42977407671500E-10     0.11149548263196E+01    -0.27068397754720E-04    -0.27046530709995E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446934646157E-02     0.60000000000000E+01     0.52070054500807E-02     0.00000000000000E+00     0.60000000000000E+01    -0.16537615580254E-04    -0.16445218347927E-04    -0.15989296224863E-04    -0.13102847372710E-04    -0.72185702145451E-05    -0.60315901736741E-05    -0.84569544671186E-06    -0.82472184021053E-06    -0.34777708298051E-06    -0.33953939371327E-06     0.92025873224886E-01     0.92152545085219E-01     0.13053708130029E-03     0.10732881162596E-03     0.14368334133525E+01     0.14364610200073E+01     0.14367028762712E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.14643302295712E-04     0.14947516276473E-04    -0.12389009788933E+00     0.00000000000000E+00     0.18515344940046E-06     0.11906053136090E-06    -0.39161329653684E-05    -0.32227909976048E-05    -0.35206471154982E-01    -0.35195300229709E-01    -0.35202555022017E-01    -0.18010087753423E-19    -0.17897655070799E-19    -0.22952262975813E-12    -0.22407168002071E-12     0.10000000000000E+01     0.30000000000000E+01     0.10205382815198E+01     0.85552036834638E-01     0.10240987573289E+01     0.62666012547538E-02    -0.12389009788933E+00
     0.23822073893522E-43     0.80000000000000E+00     0.10000000000000E+00     0.89687651259464E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21234857386950E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71136772246282E+02     0.20000000000000E+00     0.16707027234697E+00     0.89714903390566E-01     0.89689900713032E-01    -0.68433190605922E-04     0.10263464244791E+01    -0.67754377567894E-04     0.10196112717431E+01     0.61432019596373E+01     0.10262786701015E+01     0.10263318251103E+01     0.10267129627973E+01    -0.57794035743968E-04     0.67881303802829E-06     0.00000000000000E+00     0.00000000000000E+00     0.66096043226926E-02     0.16704289316142E+00     0.65471097999910E-04     0.54923421973247E-04    -0.53155008850828E-04    -0.45251112433546E-04     0.68204000236128E+01     0.00000000000000E+00     0.99041336979136E+00     0.99032889970901E+00     0.99034789869336E+00     0.11872615784162E+01    -0.65521911533202E-03    -0.11446258849852E-07    -0.11183402353422E-07    -0.42997596408210E-10    -0.43246617917038E-10     0.11149548345757E+01    -0.27704678557033E-04    -0.27682936911163E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446887744244E-02     0.60000000000000E+01     0.52070054886381E-02     0.00000000000000E+00     0.60000000000000E+01    -0.19308083435957E-04    -0.19213509854659E-04    -0.18945692751366E-04    -0.15989296224863E-04    -0.84334928010972E-05    -0.72185702145451E-05    -0.86622796143238E-06    -0.84569544671186E-06    -0.35597198992641E-06    -0.34777708298051E-06     0.91940020719028E-01     0.92050600190076E-01     0.15440939768829E-03     0.13053708130029E-03     0.14372727563509E+01     0.14368334133525E+01     0.14371183469532E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.17108297651481E-04     0.17446483070502E-04    -0.12388817314740E+00     0.00000000000000E+00     0.21632248390617E-06     0.12186293511567E-06    -0.46272607715754E-05    -0.39161329653684E-05    -0.35219635789551E-01    -0.35206471154982E-01    -0.35215008528779E-01    -0.17906757364215E-19    -0.18010087753423E-19    -0.23494663416252E-12    -0.22952262975813E-12     0.10000000000000E+01     0.30000000000000E+01     0.10201934602346E+01     0.85466145792809E-01     0.10237480413233E+01     0.62535005237514E-02    -0.12388817314740E+00
     0.23822073893522E-43     0.90000000000000E+00     0.10000000000000E+00     0.89611818673050E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21234692755216E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71136220729974E+02     0.20000000000000E+00     0.16699903648322E+00     0.89643344873453E-01     0.89614398149613E-01    -0.78513603013961E-04     0.10259084325963E+01    -0.77819607147806E-04     0.10192168094091E+01     0.61431997106127E+01     0.10258306129892E+01     0.10258918511089E+01     0.10263318251103E+01    -0.66459213982595E-04     0.69399586615452E-06     0.00000000000000E+00     0.00000000000000E+00     0.65473443660452E-02     0.16696739059800E+00     0.76279808117138E-04     0.65471097999910E-04    -0.61238119754215E-04    -0.53155008850828E-04     0.68203471457310E+01     0.00000000000000E+00     0.99051094588114E+00     0.99041336979136E+00     0.99043466607303E+00     0.11872604234764E+01    -0.75172831153671E-03    -0.11701840479875E-07    -0.11446258849852E-07    -0.41818540556364E-10    -0.42997596408210E-10     0.11149548440568E+01    -0.28323037924763E-04    -0.28301891889608E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446833806832E-02     0.60000000000000E+01     0.52070055329162E-02     0.00000000000000E+00     0.60000000000000E+01    -0.22140387228434E-04    -0.22043696471000E-04    -0.21970291067929E-04    -0.18945692751366E-04    -0.96755941499804E-05    -0.84334928010972E-05    -0.88625205739538E-06    -0.86622796143238E-06    -0.36394885074929E-06    -0.35597198992641E-06     0.91841624461637E-01     0.91933520436974E-01     0.17895595574599E-03     0.15440939768829E-03     0.14377809352848E+01     0.14372727563509E+01     0.14376019793290E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.19628400753490E-04     0.20001178481644E-04    -0.12388648443371E+00     0.00000000000000E+00     0.24818903168015E-06     0.12458869647362E-06    -0.53560069371746E-05    -0.46272607715754E-05    -0.35234843276684E-01    -0.35219635789551E-01    -0.35229487269747E-01    -0.17416147566828E-19    -0.17906757364215E-19    -0.24022717018853E-12    -0.23494663416252E-12     0.10000000000000E+01     0.30000000000000E+01     0.10197985069683E+01     0.85367705405174E-01     0.10233463344435E+01     0.62385673133365E-02    -0.12388648443371E+00
     0.23822073893522E-43     0.10000000000000E+01     0.10000000000000E+00     0.89526124970779E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21234506155579E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71135595621189E+02     0.20000000000000E+00     0.16691803636608E+00     0.89562015867431E-01     0.89529041203750E-01    -0.88799707804006E-04     0.10254104072089E+01    -0.88091542534206E-04     0.10187712622996E+01     0.61431971615099E+01     0.10253223156664E+01     0.10253918052991E+01     0.10258918511089E+01    -0.75303303871729E-04     0.70816526980013E-06     0.00000000000000E+00     0.00000000000000E+00     0.64757500629145E-02     0.16688203365214E+00     0.87344574064239E-04     0.76279808117138E-04    -0.69489632772791E-04    -0.61238119754215E-04     0.68202872120028E+01     0.00000000000000E+00     0.99062193180961E+00     0.99051094588114E+00     0.99053458723554E+00     0.11872591144182E+01    -0.85020476984294E-03    -0.11940254337798E-07    -0.11701840479875E-07    -0.39023505376000E-10    -0.41818540556364E-10     0.11149548547857E+01    -0.28899210884333E-04    -0.28879477581764E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446772671859E-02     0.60000000000000E+01     0.52070055830215E-02     0.00000000000000E+00     0.60000000000000E+01    -0.25030308316867E-04    -0.24931641246624E-04    -0.25059653572714E-04    -0.21970291067929E-04    -0.10943060367659E-04    -0.96755941499804E-05    -0.90528588687426E-06    -0.88625205739538E-06    -0.37140411041788E-06    -0.36394885074929E-06     0.91730450463692E-01     0.91801020262122E-01     0.20417361520933E-03     0.17895595574599E-03     0.14383598230085E+01     0.14377809352848E+01     0.14381556493933E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.22199926951001E-04     0.22607766113693E-04    -0.12388504404082E+00     0.00000000000000E+00     0.28070662838514E-06     0.12713253430630E-06    -0.61017712587274E-05    -0.53560069371746E-05    -0.35252140932078E-01    -0.35234843276684E-01    -0.35246039160820E-01    -0.16252543986629E-19    -0.17416147566828E-19    -0.24516146423074E-12    -0.24022717018853E-12     0.10000000000000E+01     0.30000000000000E+01     0.10193524050825E+01     0.85256481583182E-01     0.10228926058077E+01     0.62217669038131E-02    -0.12388504404082E+00
     0.23822073893522E-43     0.11000000000000E+01     0.10000000000000E+00     0.89430402416130E-01    -0.77352992448389E-01     0.33500000000000E+03     0.30000000000000E+00     0.70000000000000E+00     0.10000000000000E+01     0.14000000000000E+00     0.53000000000000E+00     0.50000000000000E+01     0.20860000000000E+01     0.65000000000000E-02    -0.88000000000000E-01     0.60031000000000E+01     0.10000000000000E+01     0.21234297170396E+00     0.30000000000000E+01     0.17000000000000E+01     0.60000000000000E+01     0.11000000000000E+02     0.71134895520826E+02     0.20000000000000E+00     0.16682709321857E+00     0.89470738678358E-01     0.89433661201447E-01    -0.99263206639903E-04     0.10248512492524E+01    -0.98542818911784E-04     0.10182737640134E+01     0.61431943066328E+01     0.10247527064335E+01     0.10248305952691E+01     0.10253918052991E+01    -0.84303304340556E-04     0.72038772811905E-06     0.00000000000000E+00     0.00000000000000E+00     0.63946391157659E-02     0.16678665364984E+00     0.98648647142157E-04     0.87344574064239E-04    -0.77888835594187E-04    -0.69489632772791E-04     0.68202200882863E+01     0.00000000000000E+00     0.99074660460385E+00     0.99062193180961E+00     0.99064795595671E+00     0.11872576483090E+01    -0.95037721172408E-03    -0.12145756815750E-07    -0.11940254337798E-07    -0.33656242964837E-10    -0.39023505376000E-10     0.11149548667797E+01    -0.29394642326387E-04    -0.29377622537864E-04     0.50000000000000E+00     0.10000000000000E+01     0.55446704202370E-02     0.60000000000000E+01     0.52070056390352E-02     0.00000000000000E+00     0.60000000000000E+01    -0.27969772549506E-04    -0.27869400090368E-04    -0.28207162714899E-04    -0.25059653572714E-04    -0.12232406015427E-04    -0.10943060367659E-04    -0.92241188522516E-06    -0.90528588687426E-06    -0.37785375642829E-06    -0.37140411041788E-06     0.91606304248079E-01     0.91652859637315E-01     0.23003357463937E-03     0.20417361520933E-03     0.14390112032333E+01     0.14383598230085E+01     0.14387811696587E+01     0.20000000000000E+00     0.10000000000000E+01     0.30000000000000E+01     0.24815801659976E-04     0.25258914464421E-04    -0.12388386879372E+00     0.00000000000000E+00     0.31378594864958E-06     0.12932685579558E-06    -0.68631569076219E-05    -0.61017712587274E-05    -0.35271571899532E-01    -0.35252140932078E-01    -0.35264708742624E-01    -0.14017610064717E-19    -0.16252543986629E-19    -0.24942643815455E-12    -0.24516146423074E-12     0.10000000000000E+01     0.30000000000000E+01     0.10188542870888E+01     0.85132279768757E-01     0.10223859766688E+01     0.62030709201455E-02    -0.12388386879372E+00
